date,category,amount
2026-02-01,Food,250.0
2026-02-01,Transport,100.0
2026-02-02,Shopping,800.0
2026-02-03,Food,300.0
2026-02-03,Bills,1200.0
2026-01-01,Food,250.0
2026-01-01,Transport,120.0
2026-01-02,Shopping,800.0
2026-01-02,Bills,1500.0
2026-01-03,Food,320.0
2026-01-03,Entertainment,450.0
2026-01-04,Transport,90.0
2026-01-04,Food,280.0
2026-01-05,Shopping,1200.0
2026-01-05,Bills,2000.0
2026-01-06,Food,300.0
2026-01-06,Transport,110.0
2026-01-07,Entertainment,600.0
2026-01-07,Food,270.0
2026-01-08,Bills,1800.0
2026-01-08,Shopping,950.0
2026-01-09,Food,310.0
2026-01-09,Transport,130.0
2026-01-10,Entertainment,700.0
2026-01-10,Food,260.0
2026-01-11,Shopping,1500.0
2026-01-11,Bills,2200.0
2026-01-12,Food,290.0
2026-01-12,Transport,100.0
2026-01-13,Entertainment,550.0
2026-01-13,Food,330.0
2026-01-14,Shopping,875.0
2026-01-14,Bills,1600.0
2026-01-15,Food,340.0
2026-01-15,Transport,140.0
2026-01-16,Entertainment,480.0
2026-01-16,Food,295.0
2026-01-17,Bills,2100.0
2026-01-17,Shopping,990.0
2026-01-18,Food,315.0
2026-01-18,Transport,115.0
2026-01-19,Entertainment,620.0
2026-01-19,Food,275.0
2026-01-20,Shopping,1300.0
2026-01-20,Bills,1750.0
2026-01-21,Food,305.0
2026-01-21,Transport,125.0
2026-01-22,Entertainment,540.0
2026-01-22,Food,350.0
2026-01-23,Shopping,1100.0
2026-01-23,Bills,1900.0
2026-01-24,Food,280.0
2026-01-24,Transport,135.0
2026-01-25,Entertainment,650.0
2026-01-25,Food,290.0
2026-01-26,Shopping,1400.0
2026-01-26,Bills,2300.0
2026-01-27,Food,310.0
2026-01-27,Transport,105.0
2026-01-28,Entertainment,500.0
2026-01-28,Food,325.0
2026-01-29,Shopping,980.0
2026-01-29,Bills,1700.0
2026-01-30,Food,295.0
2026-01-30,Transport,120.0
2026-01-31,Entertainment,720.0
2026-01-31,Food,310.0
2026-02-01,Shopping,1250.0
2026-02-01,Bills,2100.0
2026-02-02,Food,330.0
2026-02-02,Transport,110.0
2026-02-03,Entertainment,580.0
2026-02-03,Food,300.0
2026-02-04,Shopping,1500.0
2026-02-04,Bills,2400.0
2026-02-05,Food,275.0
2026-02-05,Transport,130.0
2026-02-06,Entertainment,610.0
2026-02-06,Food,315.0
2026-02-07,Shopping,1000.0
2026-02-07,Bills,1800.0
2026-02-08,Food,290.0
2026-02-08,Transport,95.0
2026-02-09,Entertainment,640.0
2026-02-09,Food,305.0
2026-02-10,Shopping,1350.0
2026-02-10,Bills,2200.0
2026-02-11,Food,310.0
2026-02-11,Transport,125.0
2026-02-12,Entertainment,520.0
2026-02-12,Food,285.0
2026-02-13,Shopping,1450.0
2026-02-13,Bills,2000.0
2026-02-14,Food,320.0
2026-02-14,Transport,140.0
2026-02-15,Entertainment,750.0
2026-02-15,Food,300.0
2026-02-16,Shopping,1600.0
2026-02-16,Bills,1950.0
2026-02-17,Food,340.0
2026-02-17,Transport,150.0
2026-02-18,Entertainment,680.0
2026-04-23,food,890.0
2024-03-05,food,540.0
2024-10-09,food,890.0
2026-09-08,Movie,560.0
